,The builder,The supporter,The enthusiast,The scholar,The observer
Introduction,1,1,1,1,1
Intro,1,1,1,1,1
Distillation,1,1,1,1,1
Part 1,1,1,1,1,1
Part 2,1,1,1,1,1
Part 3,1,1,1,1,1
Preliminaries,1,1,1,1,1
Purpose,1,1,1,1,1
Who is this piece for?,1,1,1,1,1
Institutional Design is Navigating an Idea Maze,1,1,1,1,1
Part I: Problems and Possibilities - The Boundaries of the Maze and the Minotaurs Within,1,1,1,0,0
We need new institutional structures to occupy the niche industrial labs once occupied,0,1,1,1,0
Overlapping institutional constraints rule out several classes of creative work,0,1,1,1,1
Feeling Around the Edges of Solutions R&D,0,1,1,1,0
The Solutions R&D Niche was Once Filled by Industrial Labs,0,1,1,1,0
"In the past, industrial Labs filled a particular niche in the innovation ecosystem",1,1,1,1,1
Industrial labs enabled work on a general purpose technology before it’s specialized,1,1,0,1,0
Industrial labs enabled targeted piddling around,1,1,0,1,0
Industrial labs enabled smooth project rampups with high ceilings,1,1,0,1,0
Prototyping needs manufacturing in the room,1,1,1,0,1
Healthy industrial labs require a trifecta of conditions,0,0,0,1,0
Innovation organizations need a money factory,1,1,1,1,1
Innovation orgs need to be aligned with their money factory,1,1,1,1,1
Alignment requires existential threats,1,1,1,1,1
Expensive research needs to address an existential threat eventually at an organizational level to maintain the support it needs to be effective,1,1,0,1,0
Industrial Labs no longer fill the niche they did in the early-mid twentieth century,0,0,1,1,0
AI research is an exception to the decline of industrial labs,0,1,0,1,1
The niche industrial Labs once occupied still needs to be filled,0,1,0,1,0
Existing Institutional Structures are Inadequate,0,1,0,0,0
Things that are too engineering-heavy for academia and too researchy for startups,0,1,0,0,0
Academia revolves around scientific inquiry,0,1,0,1,0
Academic Constraints,0,1,0,1,0
Startups revolve around growth,0,1,0,1,0
Startup Constraints,0,1,0,1,0
Misconceptions about things that are too engineering-heavy for academia and too researchy for startups,0,1,0,0,0
"What is the relationship between profit, value capture, and impact in the context of invention and discovery?",1,1,0,0,0
Profit is important for both practical and ideological reasons,1,1,1,1,1
Profit makes organizations auto-catalyzing,1,1,0,0,0
Someone needs to buy manufactured technology eventually in a monetized economy,1,1,0,1,0
Market discipline is a double edged sword,1,1,0,0,0
Decoupling from market discipline is like cave diving,1,1,0,0,0
Many of DARPA's outlier results were things that nobody was asking for,0,1,0,1,0
Profit-maximization can hamstring technologies whose impact depends on them,1,1,1,1,1
It is hard to capture value from research,1,1,1,1,1
We stand on the shoulders of too many giants to give them all credit,1,1,1,1,1
Current value capture mechanisms are crude,1,1,0,1,0
Patents inherently prevent a piece of intellectual property from being combined with other knowledge,1,1,0,0,0
Value capture can hamstring impact,1,1,0,1,0
Characterizing creations hamstrung by value capture,0,0,0,1,0
How common are potentially hamstrung creations?,0,1,0,1,1
Legal structure is critical to institutional capacity,1,1,0,1,0
Legal structures are intimately tied to the question of how money works in an organization,1,1,0,0,0
The traditional non-profit structure is a bad idea for an organization that requires a significant chunk of capital and produces uncertain results on a long timescale,1,1,0,0,0
There are no first principles for legal structures,1,1,1,1,1
Part II: It is Worthwhile and Possible to Riff on ARPA - The Layout of the Maze,1,1,0,0,0
Why try to emulate DARPA and not Bell Labs,1,1,1,1,0
It not impossible to build a private DARPA-riff,0,1,0,1,0
There are DARPA-style ideas that DARPA doesn’t pursue,0,1,0,0,0
Can the DARPA model exist outside of the government,0,1,0,1,0
21st century DARPA-riffs should be private,0,1,1,1,1
Things any DARPA-riff will need to consider,1,0,0,0,0
A DARPA-riff both can and must do multiple experiments at once,1,1,0,0,0
A DARPA-riff needs to be obsessed with program managers,1,0,0,0,0
"People who have done research should be in charge of research (and more generally, people who have done a thing should be in charge of that thing)",1,1,1,1,1
Anybody attempting to emulate DARPA needs to be willing to sit with a lot of discomfort for a long time,1,1,0,0,0
It is important for big things to start small,1,1,0,0,0
The boon and bane of institutional missions,1,1,1,0,0
Frontier technology has bespoke sales channels,1,0,0,1,0
Stepping into the shoes of industrial labs,1,0,0,0,0
A DARPA-riff will need to invert the normal relationship between an innovation org and its money factory,1,1,1,1,0
How does money work in an DARPA-riff?,1,0,0,0,0
Could DARPA have a positive return?,1,1,1,1,0
It is hard for a DARPA-riff to capture value without hamstringing impact,1,1,0,0,0
Is there a minimum effective budget to generate outlier results,1,1,0,0,0
Income,1,0,0,0,0
Technology Licensing,1,0,0,0,0
Spin-off Companies,1,0,0,0,0
Traditional Philanthropic Funding (Donations),1,0,0,0,0
Philanthropic Investing,1,0,0,0,0
Membership Model,1,0,0,0,0
Government Grants and Contracts,1,0,0,0,0
Government Grants,1,0,0,0,0
Government Contracts,1,0,0,0,0
Consulting,1,0,0,0,0
The Mitochondria Maneuver - Be an independent-ish arm of some existing money factory,1,0,0,0,0
An endowment that funds operations out of the interest on a large principle seems like the ideal funding mechanism for a a private DARPA,1,0,0,0,0
Speculation,1,0,0,0,0
Exploratory Program Organization,1,0,1,0,0
You can create a program design discipline that enables better research and development,1,0,0,0,0
Program design is like creating the lego instruction book,1,1,0,1,0
Good Simulations could be the ‘why now’ of roadmapping tools,1,0,0,1,0
A DARPA-riff could use a constitution with checks and balances to produce high variance results over a long period of time,1,1,0,0,0
Employee-ownership could enable an ARPA-riff to align long-term incentives,1,0,0,0,0
A DARPA-Riff could establish sales channels for frontier tech,1,0,0,0,0
R+D Incentivization SPAC,1,0,0,0,0
Part III: The Institute for Creative Technology - How I Propose to Navigate the Maze,1,0,0,0,0
Transition from Maze Interior to Plan,1,1,0,0,0
Precise visions are more likely to happen,1,1,1,1,1
Naming things is powerful,1,1,1,1,1
PARPAs path through the maze is a series of nested hypotheses,1,1,0,0,0
PARPA’s path through the maze is a series of nested hypotheses,1,1,0,0,0
It’s possible to systematically design programs,0,1,0,0,0
It’s possible to find people who want to do pieces of work that would not happen otherwise,0,1,0,0,0
"The people who would want to do early program work tend to be post-docs, grad students, and technically trained people who have left academia",0,1,0,0,0
The pieces of work in a PARPA program will tend to be things that people think can’t get through a grant committee or require some sort of collaboration that isn’t available to them,0,1,0,0,0
Frontier-pushing technical people will be willing to work with a new organization,0,1,0,0,0
There exist several areas that could possibly yield results (defined loosely) in 3-5 years (given steady work),0,1,0,0,0
"For each potential PARPA program, it’s possible to come up with a set of small experiments that could further confirm or deny its feasibility within 12-24 months and ~$1M scale",0,1,0,0,0
It’s possible to get people to undertake seedling experiments,0,1,0,0,0
Accomplishing hypotheses 1a->1d will require a combination of gumshoeing and workshops,0,1,0,0,0
It's possible to find people who are both willing and capable to be Program Managers,0,1,0,0,0
It's Possible to systemitize the whole program-creating process,0,1,0,0,0
It’s possible to execute on programs in a way that relaxes academic/startup constraints.,0,1,0,0,0
It will be possible to coordinate several research projects towards a coherent goal,0,1,0,0,0
"The early pieces of work will be done by some combination of academic labs, contract R&D orgs, independent researchers, and possibly people within corporate R&D who are able to do work for grants",0,1,0,0,0
People will be willing to shift their organizational affiliation to an Exploratory Program Organization as the program goes on,0,1,0,0,0
It’s possible to ‘graduate’ programs in a way that gives them a life of their own,0,1,0,0,0
PARPA will eventually spin out companies,0,1,0,0,0
It’s possible for this entire cycle to eventually become autocatalytic,0,1,0,0,0
PARPA can and should create a replicable institutional model,0,1,0,0,0
Legal Structure,0,1,0,0,0
PARPAs ideal legal structure comprises both a Nonprofit and a for-profit,1,1,0,0,0
PARPA will Go Through Three Phases of Organizational Growth,0,1,0,0,0
PARPA could use tranches to walk the line between long-term funding and step-by-step derisking,0,1,0,0,0
Form 1: Program Design ￼￼,0,1,0,0,0
Form 2: Architecting Institute,0,1,0,0,0
Form 3: An Institute for Creative Technology,0,1,0,0,0
Potential Programs,0,1,0,0,0
Loose Program Hypotheses,0,1,0,0,1
General Purpose Telerobotics,0,1,0,0,1
Positional Chemistry,0,1,0,0,0
Reasons why an PARPA  would succeed or fail,1,1,1,1,1
PARPA’s Mission,1,1,0,0,0
The Mission Thought Process,1,1,0,0,0
Shifting Technology from Impossible to Inevitable,1,1,1,1,1
Aknowledgements,1,1,1,1,1